mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,841864000000,947138000,934559000,40326100,0,2371790000,289190000000000,34413100000,35158200000000,0
0,668096000000,50921700,48345900,777392,169375,137429000,289150000000000,37582500000,37466700000000,34141100
0,1106160000000,10297300000,10297300000,0.097703,169705000,132.241,289110000000000,62827100000,35523300000000,9465340000
0,720239000000,1224170000,1220170000,851331,5160870000,156585000,289010000000000,35136300000,35511100000000,60798500000
21226200000,698169000000,13744400000,13716500000,12963900,853415000,1009860000,288970000000000,21237100000,31717700000000,16026100000
0,974300000000,361488000,0,19512600,0,1499050000,288950000000000,31245300000,31268300000000,0
0,607697000000,213025000,211388000,124826,46879700,26827700,288940000000000,21409500000,31884100000000,2079880000
0,722152000000,515774000,509947000,46653800,5673520000,2129620000,288890000000000,36328100000,20986700000000,71226400000
0,679564000000,0,0,105644000,178309000,6763470000,288800000000000,30755000000,33319900000000,3345850000
0,1057960000000,9543290000,9543290000,16303700,229747000,514009000,288690000000000,51572300000,35825700000000,4369480000
0,984577000000,1259400,0,247468000,0,13424000000,288610000000000,75159700000,39363600000000,0
0,960468000000,4561660,0,12628200,9053440000,574469000,288600000000000,63238700000,35280700000000,94977800000
0,671429000000,0,0,89514400,90424000,8322810000,288580000000000,31694600000,37184100000000,3480620000
0,848038000000,488271000,488271000,6821090,1780600000,833574000,288580000000000,46307500000,33120000000000,18940700000
0,706885000000,0,0,4834310,33013000,762482000,288560000000000,42114400000,36413500000000,829487000
0,837109000000,6967950,0,27399100,0,2572010000,288540000000000,23677400000,27326500000000,0
0,970909000000,1223940000,1223940000,45168900,12551000000,3954240000,288410000000000,63097700000,34416000000000,120134000000
0,799396000000,198529000,196916000,35994.5,4054160000,137978000,288390000000000,28500700000,28450900000000,50601000000
0,957715000000,430689000,428146000,41337800,1092350,3371950000,288350000000000,42185900000,37277500000000,147548000
