mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,1061550000000,7518490000,7462600000,13057600,8331020000,589125000,435580000000000,49065500000,41250600000000,94812200000
0,703012000000,20142600000,2822250000,0,602814000,0,435560000000000,26066600000,41359200000000,9534330000
0,1788740000000,31698800,0,1090050000,0,24034200000,435340000000000,94460900000,52606400000000,0
0,1218530000000,1525310000,1458800000,20250600,17994600,1152440000,435330000000000,43569800000,51887700000000,1903020000
0,1053760000000,96655500000,78673300000,0,5710900000,0,435210000000000,70029100000,49494100000000,106267000000
0,978123000000,1637640000,1606870000,20550100,48629700,2356870000,435190000000000,79118100000,56479700000000,908610000
0,1227190000000,257173000,237855000,8467180,804699000,456497000,435170000000000,63223300000,50582900000000,13756900000
0,1454720000000,24502500000,24501600000,59203000,338515000,2642470000,435040000000000,73687800000,52931000000000,6664910000
0,1664840000000,131121000000,131121000000,0,40040200000,0,434870000000000,89924000000,48483000000000,263138000000
0,896608000000,26640700,0,163700000,425066000,6199090000,434810000000000,37077100000,47818400000000,9862600000
0,1036750000000,2202520000,2188720000,2860810,48151700,347059000,434710000000000,52331400000,44764600000000,3033080000
0,1507130000000,11674700,0,72762600,15422000000,3353130000,434150000000000,112920000000,52791600000000,137261000000
0,1466830000000,278385000,271639000,1690740,2312950,383715000,434080000000000,101018000000,59281100000000,278811000
0,672748000000,12838100000,12684800000,309293000,3919640000,7646810000,433800000000000,12750900000,42837100000000,29410600000
0,1547210000000,16776300000,15773500000,353093000,14274100000,9612100000,433610000000000,115776000000,55179600000000,170868000000
0,1354040000000,1396530000,1255580000,12.4251,319338000,1184.22,433590000000000,50729500000,52682000000000,7495100000
0,1228470000000,1095310000,730942000,2861410,14287400000,344235000,432360000000000,53441600000,48023200000000,119180000000
4618090000,1438390000000,13535700,0,42422200,0,4378730000,432300000000000,109096000000,54490500000000,0
0,1683870000000,77442500,0,150658000,30209400000,7851860000,432290000000000,169487000000,51474200000000,319232000000
0,910616000000,1689200000,1687460000,41206100,9732650000,2384310000,432030000000000,36760100000,44556900000000,78020500000
0,1195000000000,1210220000,1093700000,1031450000,13486300000,30395800000,431990000000000,81563300000,50255700000000,153628000000
0,779301000000,1259860000,1241150000,23606500,27898000,1025250000,430600000000000,42061900000,49988000000000,1932870000
0,632851000000,1064570000,1052520000,17772900,1689410000,1860290000,430570000000000,37406000000,48770400000000,20293000000
0,858192000000,16713700,0,32026100,0,3075440000,430550000000000,62395200000,32319000000000,0
0,1468820000000,4543450,0,7672540,19993100000,745391000,430230000000000,127461000000,54030300000000,205129000000
0,845962000000,2863130,0,59655900,1976630000,1308600000,429770000000000,46279200000,40641300000000,27048000000
0,1327730000000,18844700000,18834900000,23446200,9279400000,872992000,429680000000000,51654000000,50301800000000,98230000000
0,1347070000000,0,0,896970,15384600000,143287000,429430000000000,89579200000,54095500000000,134297000000
0,1613890000000,65035000,0,8699090,12843900000,825765000,429280000000000,168999000000,58718600000000,154951000000
0,1334290000000,221134000,131848000,48848100,0,2683300000,429170000000000,68162300000,41776300000000,0
0,794081000000,3133160000,3123210000,0,111121000,0,428870000000000,37183800000,48272800000000,5692770000
0,1123150000000,274603000,259624000,23462800,6363360,1447730000,428780000000000,92921200000,53973400000000,456359000
0,1549810000000,623602000,600535000,2398580,103257000,353000000,428290000000000,142478000000,60591100000000,6783370000
0,994490000000,3340960000,3323380000,9570200,515430000,783106000,428230000000000,44243200000,47557400000000,8922640000
0,1090290000000,4352730000,4350990000,28599800,5641140000,1176320000,427870000000000,47583800000,48304600000000,55237800000
0,1638020000000,5881770000,5847630000,7567150,15172600000,577388000,427690000000000,224414000000,58155500000000,195214000000
0,1021840000000,459058000,444858000,2471780,298091000,368439000,427170000000000,63524800000,42649100000000,7521520000
398110000,1282060000000,13548900000,13542600000,0,1628910000,0,427150000000000,57042700000,37329600000000,26157400000
0,1014370000000,214769000,0,86839000,0,6601730000,427080000000000,82727200000,55680700000000,0
0,384825000000,6302300000,6219790000,0,1588210000,0,426990000000000,11869300000,48583400000000,19768700000
0,1082670000000,23070700,0,470796000,1131330000,19833200000,426940000000000,59033900000,43578000000000,16188800000
0,595989000000,6770300,0,93240800,0,3824540000,426900000000000,22740100000,46993000000000,0
0,1023510000000,26523900,0,6322230,0,477842000,426860000000000,60942300000,49145200000000,0
0,748025000000,1583570000,1188010000,311287000,5980270,27073000000,426570000000000,32827200000,37719700000000,486933000
0,2007820000000,3037000000,3028500000,1474950,25533000000,171431000,425840000000000,191205000000,49640400000000,258073000000
0,518578000000,0,0,157947000,3654880000,7752260000,425600000000000,27075200000,42518400000000,46298000000
0,1452530000000,8074450000,8069830000,566724000,8278460000,15651300000,425590000000000,106906000000,41806100000000,127381000000
0,645352000000,273525000,0,66515900,0,2931860000,425560000000000,17690700000,1010970000000,0
0,1101060000000,1437150000,1429240000,177061,1801660000,50924500,425540000000000,38765200000,50730500000000,19111000000
0,1721310000000,3959100000,1351480000,146318000,11629100000,3233700000,425280000000000,79069900000,46276800000000,123715000000
0,1150450000000,2613200,0,45880000,9679080000,3287570000,424990000000000,62729200000,44626800000000,103037000000
0,842961000000,26560900000,26537200000,385625,7112720000,15678300,424490000000000,27843700000,37312300000000,88416200000
0,1351780000000,0,0,96358900,8789890000,3254040000,424480000000000,96442600000,57005900000000,108702000000
0,1447920000000,103064000000,103064000000,113651000,20164100000,1480210000,424450000000000,81465300000,55132900000000,172669000000
0,1589000000000,1802210000,1740530000,159919000,255706000,8970480000,424350000000000,95130000000,52736500000000,7812370000
0,785591000000,45244000,0,206019000,0,11696700000,424300000000000,45320000000,47036100000000,0
0,1162880000000,2332510,0,62342400,8673980000,4281440000,424280000000000,95298800000,46011900000000,110211000000
0,852124000000,927295000,923424000,0,1464790,0,424110000000000,54195600000,50618300000000,139555000
0,1091150000000,793271000,706269000,81339700,40818600,2919970000,423670000000000,87130100000,51859800000000,2059520000
0,1223620000000,37813000000,37774700000,30451800,12564400000,480872000,423440000000000,48241600000,44169000000000,78137000000
0,1053220000000,10128500000,4566540000,2713660,4407050000,208939000,423330000000000,68837300000,44000800000000,64348100000
0,1721200000000,807043000,800407000,284650,29391000000,65198000,422450000000000,138375000000,54242500000000,199494000000
0,1068100000000,1595410000,1082520000,39476100,32714200,1104200000,422300000000000,54506500000,52192600000000,2670600000
36991700000,1272570000000,4398990000,4387390000,10002900,8922470000,713265000,422010000000000,96640300000,56115500000000,110708000000
0,1137390000000,3934880000,3889990000,227164,49412700,53261100,421940000000000,59007000000,46337100000000,6347810000
0,822480000000,31023400000,10599000000,1891500,11268800000,111251000,421920000000000,35173600000,38717300000000,201000000000
0,688235000000,1240370000,1236740000,0,39188300,0,421870000000000,30053800000,49000600000000,1943970000
0,1308480000000,206474000,0,87812200,3457930000,6913260000,421810000000000,99744900000,54796300000000,35277000000
0,1331910000000,394271000,0,176216000,155865000,6798020000,421060000000000,83814300000,49244600000000,3558230000
0,847592000000,1574670000,1519460000,7045120,59878600,791205000,420820000000000,41679000000,43978600000000,2139360000
0,1559540000000,3011700000,3005200000,11554500,224901000,856130000,420690000000000,108216000000,55345000000000,7154680000
52549800000,752333000000,3398540,0,3562200000,0,78830800000,420390000000000,23057500000,46530100000000,0
52153700,748612000000,7685260000,514641000,6710840,5455000000,283165000,420070000000000,44721000000,45352000000000,75857600000
0,1281370000000,705209,0,10991900,7433000000,520266000,420010000000000,84167300000,53302400000000,94087500000
0,956843000000,1158390000,1155170000,135054000,36888300,6659930000,419910000000000,43171400000,37539600000000,1654410000
0,1485500000000,2308430000,2287250000,76956800,36454300000,4393380000,419600000000000,162615000000,50553300000000,373443000000
16363200000,1168100000000,390597,0,63844100,764748000,4582450000,419530000000000,85805900000,57066600000000,12756400000
0,1085340000000,895343000,836053000,13083100,142894000,1190560000,419400000000000,62667700000,48618200000000,3458110000
10005500000,420185000000,1754100,0,302481000,0,14314300000,419360000000000,13602300000,36900800000000,0
0,1129060000000,3069850000,3049750000,2070240,67134600,470348000,418940000000000,54498100000,43029500000000,2550340000
0,878594000000,12552100,0,135937000,0,5236180000,418890000000000,62173500000,47140500000000,0
0,1272460000000,219873000,205207000,237374,68077900,151532000,418790000000000,114416000000,54646200000000,3237280000
0,899339000000,778011000,772921000,1092090,6650610,115033000,418760000000000,32712100000,46363800000000,668515000
0,1678720000000,897039,0,721074000,16528800000,12501100000,418350000000000,146898000000,54472800000000,164512000000
0,1211850000000,914789000,906645000,1201770,3130150000,217844000,418250000000000,48241200000,46494400000000,41511300000
0,1365340000000,15315100000,14228000000,444234000,915921000,12980500000,417920000000000,129689000000,53628000000000,29498500000
0,1356450000000,518119000,315032000,11770900,254060000,886782000,417850000000000,73273800000,50138000000000,5372970000
0,1184960000000,0,0,9968410,5243340000,587246000,417650000000000,94489900000,57328400000000,70522700000
